"Entrada do Processo","Expediçao da Outorga","Expiração da Outorga","Situação da Outorga","Vazão Horária  (m³/h)","Volume Anual (m³)","Manancial","Latitude","Longitude","Tipo de Uso","Município ","Bacia Hidrográfica","Açude Monitorados"
"18/03/2005","31/05/2005","42114","Vencido","30.9","22250","Açude","-7,55694444444444","-37,8042777777778","Irrigação","Juru","Piancó","Timbaúba"
"16/03/2005","31/05/2005","42114","Vencido","23.66","17034.25","Açude","-7,55344444444444","-37,8273611111111","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","11/11/2009","40493","Vencido","7.19","25900","Açude","-7,40319444444444","-38,0658611111111","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","25/11/2009","40507","Vencido","9.56","34400","Açude","-7,40030555555556","-38,0730555555556","Irrigação","Pedra Branca","Piancó","Saco"
"16/03/2005","31/05/2005","42114","Vencido","9.970000000000001","7177.8","Açude","-7,56044444444444","-37,8096111111111","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","16/07/2008","40010","Vencido","7.75","27900","Açude","-7,44838611111111","-38,0516361111111","Irrigação","Pedra Branca","Piancó","Saco"
"16/03/2005","31/05/2005","42114","Vencido","15.49","11151.28","Açude","-7,56044444444444","-37,8096111111111","Irrigação","Juru","Piancó","Timbaúba"
"17/03/2005","31/05/2005","42114","Vencido","15.7","11307.5","Açude","-7,56044444444444","-37,8096111111111","Irrigação","Juru","Piancó","Timbaúba"
"17/03/2006","31/05/2006","42114","Vencido","23.18","16687.5","Açude","-7,56138888888889","-37,8227777777778","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","16/07/2008","40010","Vencido","19","68400","Açude","-7,42313888888889","-38,0614444444444","Irrigação","Pedra Branca","Piancó","Saco"
"17/03/2005","31/05/2005","42114","Vencido","23.39","16838.85","Açude","-7,56044444444444","-37,8096111111111","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","16/07/2008","40010","Vencido","7.75","27900","Açude","-7,44077777777778","-38,0498333333333","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","15/07/2008","40009","Vencido","13.3","47900","Açude","-7,42005555555556","-38,0629722222222","Irrigação","Nova Olinda","Piancó","Saco"
"18/03/2005","31/05/2005","42114","Vencido","30.33","21840","Açude","-7,55813888888889","-37,8083333333333","Irrigação","Juru","Piancó","Timbaúba"
